split,method,rank,queries,query_fraction,anchors,interpolation_one_norm,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
confirmation,anchor_gated_residual,6,6,0.0234375,83 211 246 23 78 215,0.0,0.00609507021109534,0.011300639230145206,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,6,6,0.0234375,83 211 246 23 78 215,2.817986353499229,0.009601417323271015,0.029824576664357574,0.0,0.0,1.0,0.030892887880108022,1.0
confirmation,uniform_residual,6,6,0.0234375,83 211 246 23 78 215,2.817986353499229,0.009601417323271015,0.029824576664357574,0.0,0.0,1.0,0.030892887880108022,1.0
confirmation,random_residual,6,6,0.0234375,59 120 153 164 192 216,23.739773912992074,0.01850557176599239,0.07599040754850672,0.0,0.0,1.0,0.13523206876465954,1.0
confirmation,salience_raw,6,6,0.0234375,85 246 197 249 215 218,2.420186302457728,0.009610997664870563,0.02649624147393143,0.0,0.0,1.0,0.029372330530345492,1.0
confirmation,anchor_gated_residual,8,8,0.03125,83 211 246 23 78 215 190 234,0.0,0.00609507021109534,0.011300639230145189,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,8,8,0.03125,83 211 246 23 78 215 190 234,2.9705506418250995,0.00829447228455257,0.026812002419571726,0.0,0.0,1.0,0.028652310982677065,1.0
confirmation,uniform_residual,8,8,0.03125,83 211 246 23 78 215 190 234,2.9705506418250995,0.00829447228455257,0.026812002419571726,0.0,0.0,1.0,0.028652310982677065,1.0
confirmation,random_residual,8,8,0.03125,39 59 120 153 164 192 216 227,25.229627863472867,0.011380488175125143,0.039120908636344015,0.0,0.0,1.0,0.051749452584279654,1.0
confirmation,salience_raw,8,8,0.03125,85 246 197 249 215 218 206 227,3.272127027457978,0.008418591535431858,0.022295185976646564,0.0020724340308741,0.011052981497995384,0.8125,0.02441344281942537,1.0
confirmation,anchor_gated_residual,12,12,0.046875,83 211 246 23 78 215 190 234 206 187 223 251,0.0,0.0060950702110953315,0.011300639230145168,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,12,12,0.046875,83 211 246 23 78 215 190 234 206 187 223 251,4.0140415250479835,0.0038539342121354926,0.010416792271070903,0.0,0.0,1.0,0.007911378467803543,1.0
confirmation,uniform_residual,12,12,0.046875,83 211 246 23 78 215 190 234 206 187 223 251,4.0140415250479835,0.0038539342121354926,0.010416792271070903,0.0,0.0,1.0,0.007911378467803543,1.0
confirmation,random_residual,12,12,0.046875,39 59 92 103 120 153 160 164 192 216 222 227,53.72867615367972,0.006027786680456594,0.012142635231713467,0.0,0.0,1.0,0.0063966995941688864,1.0
confirmation,salience_raw,12,12,0.046875,85 246 197 249 215 218 206 227 253 118 170 87,5.533490522683264,0.0049383154053410224,0.008481295298690471,0.0,0.0,1.0,0.004548093593684355,1.0
confirmation,anchor_gated_residual,16,16,0.0625,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125,0.0,0.0060950702110953315,0.011300639230145154,0.0,0.0,1.0,4.440892098500626e-16,1.0
